Order ID,Order Date,Order Status,ASIN,Product Name,Original Quantity,Unit Price,Total Amount,is_grocery,category,grocery_subcategory,year,year_month,is_returned,return_reasons,return_amount,is_refunded,refund_amount,refund_date,is_return_related_refund,reversal_reasons
114-9304648-5240228,2019-08-15 00:59:45+00:00,Closed,B07CT5M9S4,Edifier RC10D Remote Control for R2000DB,1,19.99,19.99,False,Electronics & Accessories,,2019,2019-08-01,False,,,False,0.0,,False,
112-7899331-5627416,2021-06-10 14:56:16+00:00,Closed,B01N9SE2T9,"Katadyn Befree Replacement Cartridge, Blue, one Size (8019641)",1,24.95,27.01,False,Outdoors & Sporting,,2021,2021-06-01,False,,,False,0.0,,False,
112-7899331-5627416,2021-06-10 14:56:16+00:00,Closed,B08NX82XZB,Hydrapak Seeker - Collapsible Water Storage (2L/70oz) - BPA & PVC Free Camping Hydration Reservoir Bag - Mammoth Grey,1,22.0,23.82,False,Outdoors & Sporting,,2021,2021-06-01,False,,,False,0.0,,False,
112-1108775-0412236,2023-11-08 00:16:08+00:00,Closed,B06WV7VMKH,hand2mind-65803 Bananagrams Word Game,1,19.99,21.64,False,Toys & Games,,2023,2023-11-01,False,,,False,0.0,,False,
112-7336764-7977035,2022-03-21 21:52:51+00:00,Closed,B083TMWFSZ,"LEVOIT Air Purifier for Home Allergies Pets Hair in Bedroom, H13 True HEPA Filter, 24db Filtration System Cleaner Odor Eliminators, Ozone Free, Remove 99.97% Dust Smoke Mold Pollen, Core 300, Black",1,99.99,108.24,False,Home & Kitchen,,2022,2022-03-01,False,,,False,0.0,,False,
114-0034926-8690640,2013-11-09 05:55:25+00:00,Closed,B0032SEOAO,"Keds Women's Champion Jersey Sneaker,Blue,7.5 M US",1,26.0,26.0,False,Clothing & Shoes,,2013,2013-11-01,True,Too large,26.0,True,26.0,2014-01-07 20:31:28+00:00,True,Customer return
113-7951400-4468215,2020-06-24 05:28:35+00:00,Closed,B07KWVTSHJ,"adidas Originals Men's Matchcourt Sneaker, Dark Grey Heather/White/Gum, 5.5 M US",1,69.95,88.71,False,Clothing & Shoes,,2020,2020-06-01,True,Too large,70.33,True,70.33,2020-07-06 00:04:08.489000+00:00,True,Customer return
113-9272127-5336257,2015-01-24 00:38:18+00:00,Closed,8867322516,"Moleskine 2015 Weekly Planner, 12 Month, Pocket, Black, Soft Cover (3.5 x 5.5) (Moleskine Diaries)",1,13.79,14.93,False,Office & Supplies,,2015,2015-01-01,False,,,False,0.0,,False,
112-2278938-8748252,2024-10-29 23:42:10+00:00,Closed,B0CFRC33SN,"Dog Playpen, Puppy Pet Playpen Indoor for Large Dogs, Dog Tent Crates Cage Indoor/Outdoor, Portable Pop Up Dog Kennel Playpen with Carrying Case for Dogs/Cats/Rabbits, Removable Zipper Top, Black",1,49.99,54.11,False,Pet Supplies,,2024,2024-10-01,False,,,False,0.0,,False,
112-4395881-4606632,2022-12-05 19:28:47+00:00,Closed,B0BFBRF9PT,"Ringke Onyx [Anti-Fingerprint Technology] Compatible with Google Pixel 7 Case 5G, Shockproof Rugged Heavy Duty Non-Slip Flexible Smudge Proof Cover - Dark Green",1,14.99,15.14,False,Electronics & Accessories,,2022,2022-12-01,True,No longer needed/wanted,15.14,True,15.14,2022-12-14 02:00:14.308000+00:00,True,Customer return
110-9189072-2139411,2013-01-22 03:46:59+00:00,Closed,0765322897,Calculating God,1,0.01,4.0,False,Books & Media,,2013,2013-01-01,False,,,False,0.0,,False,
110-7463739-8685832,2013-01-22 03:39:42+00:00,Closed,0520256425,Personal Identity: Second Edition (Topics in Philosophy),1,14.95,18.94,False,Books & Media,,2013,2013-01-01,False,,,False,0.0,,False,
105-3827772-0492238,2012-09-06 21:44:07+00:00,Closed,0375507256,Cloud Atlas: A Novel,1,8.98,12.97,False,Books & Media,,2012,2012-09-01,False,,,False,0.0,,False,
102-6821131-7601051,2012-02-17 03:02:05+00:00,Closed,1551113082,Frankenstein: the original 1818 text (Broadview Literary Texts),1,3.26,7.25,False,Books & Media,,2012,2012-02-01,False,,,False,0.0,,False,
102-6079664-0777011,2012-02-17 03:02:05+00:00,Closed,0807072311,"Flying Solo: Reimagining Manhood, Courage, and Loss",1,1.0,4.99,False,Books & Media,,2012,2012-02-01,False,,,False,0.0,,False,
102-3604951-7038651,2012-01-21 04:37:15+00:00,Closed,023111639X,Mathematics: The New Golden Age,1,7.4,11.39,False,Books & Media,,2012,2012-01-01,False,,,False,0.0,,False,
112-1013521-6589009,2023-03-03 07:23:47+00:00,Closed,B0BH4TRMW4,"Savonnerie Round Coffee Table, Hand-cast Metal with Antiqued Finish, 36 Inches",1,259.99,281.44,False,Home & Kitchen,,2023,2023-03-01,True,No longer needed/wanted,281.44,True,281.44,2023-03-22 04:11:03.856000+00:00,True,Customer return
112-8371547-8658662,2022-08-30 21:52:52+00:00,Closed,B08SQX65CN,"Zakkart Cat Window Perch - 100% Metal Supported from Below - Comes with Warm Spacious Pet Bed - Cat Window Hammock for Large Cats & Kittens - for Sunbathing, Napping & Overlooking (White)",1,39.99,43.29,False,Pet Supplies,,2022,2022-08-01,False,,,False,0.0,,False,
113-0363402-2161807,2021-03-02 21:25:28+00:00,Closed,B004OQHZ2M,ROHTO Hadalabo Gokujun Cleansing Oil 200ml,1,16.28,17.62,False,Health & Beauty,,2021,2021-03-01,False,,,False,0.0,,False,
113-5193566-0276268,2021-03-02 21:25:28+00:00,Closed,B078BLRM2L,COSRX Acne Pimple Master Patch 96 Patches (4 Packs of 24 Patches) | A.D.F. Hydrocolloid Dressing | Quick & Easy Treatment,1,12.86,13.92,False,Health & Beauty,,2021,2021-03-01,False,,,False,0.0,,False,
113-0363402-2161807,2021-03-02 21:25:28+00:00,Closed,B085RKX35W,ETUDE HOUSE SoonJung 5.5 Foam Cleanser 150ml | Hypoallergenic cleansing foam for sensitive skin | Korean Skin Care,1,9.45,10.23,False,Health & Beauty,,2021,2021-03-01,False,,,False,0.0,,False,
113-3926048-9455438,2021-03-02 21:25:28+00:00,Closed,B07N3SMBRM,"COSRX Advanced Snail 96 Mucin Power Essence 3.38 fl.oz / 100ml | Snail Secretion Filtrate 96% | Skin Repair Serum | Korean Skin Care, Cruelty Free, Paraben Free, Alcohol Free",1,18.15,19.65,False,Health & Beauty,,2021,2021-03-01,False,,,False,0.0,,False,
112-8999068-7836227,2024-12-13 06:12:35+00:00,Closed,B0CTKNT46H,"Enclosed Stainless Steel Cat Litter Box, Litter Box with Lid, High Sided Metal Litter Box, Enclosed Cat Litter Boxes, Never Absorbs Odors, Anti-Urine Leakage, Easy Cleaning",1,54.98,56.54,False,Pet Supplies,,2024,2024-12-01,False,,,False,0.0,,False,
112-4261850-6707413,2024-12-03 07:27:10+00:00,Closed,B08F26Z2DW,"ISMARTEN Cat Spring Toy (60 Pack), Cat Kittens Toys Plastic Coil Spiral Springs for Swatting, Biting, Hunting, and Active Healthy Play (Random Color)",1,6.99,7.57,False,Pet Supplies,,2024,2024-12-01,False,,,False,0.0,,False,
114-9375289-9660231,2021-03-05 18:58:06+00:00,Closed,B08277ZVGP,"Various Elk Series Paint by Numbers for Adults Kids Beginners with Paint and Brushes(16×20inches,Without Frame) (Noble elk)",1,10.99,11.9,False,Toys & Games,,2021,2021-03-01,False,,,False,0.0,,False,
114-9636116-7209051,2019-01-22 03:28:47+00:00,Closed,B06ZY59K95,"Jessica Simpson Women's Rolled Crop Skinny Jean (4/27, Cabo Light Blue)",1,20.68,24.67,False,Clothing & Shoes,,2019,2019-01-01,True,Too small,20.68,True,28.66,2019-02-05 01:05:07.447000+00:00,True,Customer return
